City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kuching,MY,82.62,few clouds,1.55,110.33,Hilton Kuching
6,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
7,Manadhoo,MV,81.99,overcast clouds,5.77,73.38,Vevu Guesthouse
12,Ishigaki,JP,86.13,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
17,Avarua,CK,78.85,few clouds,-21.21,-159.78,Paradise Inn
21,Atuona,PF,77.81,scattered clouds,-9.8,-139.03,Villa Enata
22,Puerto Princesa,PH,88.72,broken clouds,9.74,118.74,Deep Forest Garden Inn
30,Les Cayes,HT,79.41,overcast clouds,18.2,-73.75,Villa Orphee
35,Lompoc,US,76.14,overcast clouds,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
36,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
37,Honiara,SB,84.42,overcast clouds,-9.43,159.95,Heritage Park Hotel
40,Bubaque,GW,79.54,moderate rain,11.28,-15.83,"Casa Dora, Bubaque"
41,Neepawa,CA,75.6,clear sky,50.23,-99.47,"Westway Inn Motel, Neepawa"
43,Cockburn Town,TC,82.31,clear sky,21.46,-71.14,Osprey Beach Hotel
44,Hilo,US,78.53,light rain,19.73,-155.09,Hilo Hawaiian Hotel
49,Nurota,UZ,80.69,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
56,Kapaa,US,85.98,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
59,Shenjiamen,CN,78.84,light rain,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
60,Naze,JP,83.32,overcast clouds,28.37,129.48,奄美ポートタワーホテル
63,Butaritari,KI,82.49,light rain,3.07,172.79,Isles Sunset Lodge
66,Airai,TL,75.22,broken clouds,-8.93,125.41,Juvinal Martin
67,Puerto El Triunfo,SV,85.12,clear sky,13.28,-88.55,Hotel Jardin
68,Kuandian,CN,83.03,broken clouds,40.73,124.78,Hi Inn Dandong Kuandian Ji Xian Garden
69,Lingyuan,CN,78.96,broken clouds,41.24,119.4,Guomao Hotel
71,Najran,SA,81.25,overcast clouds,17.49,44.13,محمد هادي ال فطيح
74,Bathsheba,BB,81.21,few clouds,13.22,-59.52,Atlantis Hotel
85,Acarau,BR,78.4,clear sky,-2.89,-40.12,castelo pizzaria
