City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.68,156.13,61.03,85,82,8.21,broken clouds
1,Kuching,MY,1.55,110.33,82.62,78,20,0,few clouds
2,Ushuaia,AR,-54.80,-68.30,33.46,86,75,3.44,light snow
3,Rikitea,PF,-23.12,-134.97,74.75,80,98,17.38,overcast clouds
4,Fairbanks,US,64.84,-147.72,71.94,48,20,14.97,few clouds
5,Albany,US,42.60,-73.97,72.21,81,0,5.35,clear sky
6,Ixtapa,MX,20.70,-105.20,85.23,74,20,5.75,few clouds
7,Manadhoo,MV,5.77,73.38,81.99,76,100,14.92,overcast clouds
8,Narsaq,GL,60.92,-46.05,52.02,73,73,1.9,broken clouds
9,Carnarvon,AU,-24.87,113.63,69.87,64,40,13.8,scattered clouds
10,Puerto Ayora,EC,-0.74,-90.35,71.55,86,19,5.01,few clouds
11,Teya,RU,60.38,92.63,79.21,44,41,7.85,scattered clouds
12,Ishigaki,JP,24.34,124.16,86.13,89,75,6.91,broken clouds
13,Necochea,AR,-38.55,-58.74,40.03,68,93,21.92,overcast clouds
14,Provideniya,RU,64.38,-173.30,50.11,81,90,11.18,light rain
15,Codrington,AU,-38.27,141.97,55.54,64,100,20.6,overcast clouds
16,Busselton,AU,-33.65,115.33,53.04,57,100,26.02,overcast clouds
17,Avarua,CK,-21.21,-159.78,78.85,73,20,9.22,few clouds
18,Rio Gallegos,AR,-51.62,-69.22,37.45,87,90,4.61,light rain
19,Bredasdorp,ZA,-34.53,20.04,47.52,76,8,4.61,clear sky
20,Port Alfred,ZA,-33.59,26.89,60.67,31,21,10.45,few clouds
21,Atuona,PF,-9.80,-139.03,77.81,70,35,21.5,scattered clouds
22,Puerto Princesa,PH,9.74,118.74,88.72,54,62,4.7,broken clouds
23,Adzhamka,UA,48.54,32.54,67.42,55,15,5.86,few clouds
24,Malartic,CA,48.13,-78.13,60.91,83,46,5.17,scattered clouds
25,Sao Filipe,CV,14.90,-24.50,74.97,85,24,9.01,few clouds
26,Mataura,NZ,-46.19,168.86,52.48,71,16,4.97,few clouds
27,Honningsvag,NO,70.98,25.97,50,76,28,5.53,scattered clouds
28,Kautokeino,NO,69.01,23.04,53.67,86,45,5.84,scattered clouds
29,Barranca,PE,-10.75,-77.77,63.72,87,65,7.29,broken clouds
30,Les Cayes,HT,18.20,-73.75,79.41,82,100,3.85,overcast clouds
31,Upernavik,GL,72.79,-56.15,44.92,92,100,7.45,light rain
32,Punta Arenas,CL,-53.15,-70.92,41.11,81,75,5.75,broken clouds
33,Port Lincoln,AU,-34.73,135.87,65.28,41,90,31.23,overcast clouds
34,Qingyuan,CN,23.70,113.03,91.38,61,100,1.9,overcast clouds
35,Lompoc,US,34.64,-120.46,76.14,78,90,6.91,overcast clouds
36,Vaini,TO,-21.20,-175.20,77.16,83,75,11.5,broken clouds
37,Honiara,SB,-9.43,159.95,84.42,71,98,5.59,overcast clouds
38,Elban,RU,50.10,136.51,85.28,59,92,4.85,light rain
39,Nikolskoye,RU,59.70,30.79,61.02,73,6,3.89,clear sky
40,Bubaque,GW,11.28,-15.83,79.54,84,87,11.63,moderate rain
41,Neepawa,CA,50.23,-99.47,75.6,40,1,9.17,clear sky
42,Tuatapere,NZ,-46.13,167.68,52.83,64,16,6.42,few clouds
43,Cockburn Town,TC,21.46,-71.14,82.31,84,8,15.43,clear sky
44,Hilo,US,19.73,-155.09,78.53,86,75,11.5,light rain
45,Aykhal,RU,66.00,111.50,83.05,35,46,4,scattered clouds
46,Ribeira Grande,PT,38.52,-28.70,70.97,89,95,8.86,overcast clouds
47,Lavrentiya,RU,65.58,-171.00,44.92,98,100,3.47,overcast clouds
48,Bluff,NZ,-46.60,168.33,52.81,71,11,21.25,few clouds
49,Nurota,UZ,40.56,65.69,80.69,25,0,17.29,clear sky
50,Murgab,TM,37.50,61.97,80.47,41,0,11.5,clear sky
51,Vao,NC,-22.67,167.48,68.36,61,19,16.82,few clouds
52,Poum,NC,-20.23,164.02,71.82,65,66,8.61,broken clouds
53,Lafia,NG,8.48,8.52,72.39,90,100,3.98,light rain
54,Saldanha,ZA,-33.01,17.94,51.85,89,0,9.51,clear sky
55,Bambous Virieux,MU,-20.34,57.76,68.25,88,75,12.66,light rain
56,Kapaa,US,22.08,-159.32,85.98,76,20,4,few clouds
57,Pevek,RU,69.70,170.31,35.82,90,97,18.34,overcast clouds
58,Cidreira,BR,-30.18,-50.21,62.28,98,100,8.41,overcast clouds
59,Shenjiamen,CN,29.96,122.30,78.84,90,100,29.39,light rain
60,Naze,JP,28.37,129.48,83.32,82,100,13.09,overcast clouds
61,Castro,BR,-24.79,-50.01,58.37,60,42,4.97,scattered clouds
62,Luangwa,ZM,-15.62,30.42,54.88,89,92,3.22,overcast clouds
63,Butaritari,KI,3.07,172.79,82.49,74,46,7.09,light rain
64,Tuktoyaktuk,CA,69.45,-133.04,51.8,71,75,6.91,broken clouds
65,Zhigansk,RU,66.77,123.37,60.98,55,9,17.47,clear sky
66,Airai,TL,-8.93,125.41,75.22,25,58,4.9,broken clouds
67,Puerto El Triunfo,SV,13.28,-88.55,85.12,86,2,5.53,clear sky
68,Kuandian,CN,40.73,124.78,83.03,70,60,1.92,broken clouds
69,Lingyuan,CN,41.24,119.40,78.96,74,84,5.26,broken clouds
70,Rabo De Peixe,PT,37.80,-25.58,69.31,88,75,6.91,broken clouds
71,Najran,SA,17.49,44.13,81.25,35,94,3.76,overcast clouds
72,Cabo San Lucas,MX,22.89,-109.91,93.51,64,1,7,clear sky
73,Dikson,RU,73.51,80.55,38.71,99,100,8.63,light rain
74,Bathsheba,BB,13.22,-59.52,81.21,74,20,12.66,few clouds
75,College,US,64.86,-147.80,71.92,48,75,10.36,broken clouds
76,Portsmouth,GB,50.80,-1.09,65.77,91,100,5.99,heavy intensity rain
77,Fort Nelson,CA,58.81,-122.70,74.79,33,75,3.44,light rain
78,Pitimbu,BR,-7.47,-34.81,73.99,84,11,7.63,few clouds
79,Alice Springs,AU,-23.70,133.88,74.75,13,77,18.41,broken clouds
80,Mount Gambier,AU,-37.83,140.77,53.51,62,100,17.27,overcast clouds
81,Jamestown,US,42.10,-79.24,73.04,64,1,4.14,clear sky
82,Ust-Kalmanka,RU,52.12,83.31,61.54,80,14,7.96,few clouds
83,Carballo,ES,43.21,-8.69,62.76,93,38,1.63,scattered clouds
84,Phek,IN,25.67,94.50,67.17,87,99,2.04,overcast clouds
85,Acarau,BR,-2.89,-40.12,78.4,80,9,15.9,clear sky
86,Cartagena,CO,10.40,-75.51,82.02,83,40,10.36,scattered clouds
87,Nizwa,OM,22.93,57.53,90.03,41,37,4.32,scattered clouds
88,Alofi,NU,-19.06,-169.92,78.69,78,40,6.91,scattered clouds
89,Saint George,US,37.10,-113.58,81.54,78,1,6.91,clear sky
90,Colomi,BO,-17.35,-65.87,53.62,85,56,4.43,broken clouds
91,Iqaluit,CA,63.75,-68.51,49.73,81,75,3,broken clouds
92,Katherine,AU,-14.47,132.27,82.72,47,31,4.61,scattered clouds
93,Mar Del Plata,AR,-38.00,-57.56,39.99,53,0,10,light rain
94,Merritt,CA,50.11,-120.79,82.45,25,0,9.53,clear sky
95,Kendari,ID,-3.95,122.50,82.71,62,68,1.92,broken clouds
96,Hermanus,ZA,-34.42,19.23,54.9,62,2,9.33,clear sky
97,Sarmanovo,RU,55.26,52.59,56.08,68,10,9.51,clear sky
98,Balkhash,KZ,46.84,74.98,68.61,49,0,20.13,clear sky
99,Hobart,AU,-42.88,147.33,58.91,65,75,3,broken clouds
100,High Level,CA,58.52,-117.14,64.51,82,75,0,broken clouds
101,Jalu,LY,29.03,21.55,78.39,48,0,6.51,clear sky
102,Komsomolskiy,UZ,40.43,71.72,84.92,30,1,9.22,clear sky
103,Ancud,CL,-41.87,-73.82,42.33,79,26,5.73,scattered clouds
104,Leningradskiy,RU,69.38,178.42,40.98,82,80,8.88,broken clouds
105,Barrow,US,71.29,-156.79,46.42,93,90,6.91,light rain
106,Hithadhoo,MV,-0.60,73.08,80.89,74,100,4.99,overcast clouds
107,Ipira,BR,-12.16,-39.74,65.08,94,38,5.93,scattered clouds
108,Faya,SA,18.39,42.45,66.31,73,72,4.38,broken clouds
109,Takoradi,GH,4.88,-1.76,75.58,81,100,10.83,overcast clouds
110,Ayame,CI,5.61,-3.16,73.22,86,100,5.37,overcast clouds
111,Thompson,CA,55.74,-97.86,69.96,40,20,8.05,few clouds
112,New Norfolk,AU,-42.78,147.06,58.57,45,71,7.14,broken clouds
113,Adelaide,AU,-34.93,138.60,67.21,40,0,5.01,clear sky
114,De-Kastri,RU,51.47,140.78,71.65,87,100,4.74,overcast clouds
115,Kavaratti,IN,10.57,72.64,81.07,80,100,19.86,overcast clouds
116,Kavieng,PG,-2.57,150.80,84.94,64,57,4.47,broken clouds
117,Concarneau,FR,47.88,-3.92,65.05,95,100,7.23,overcast clouds
118,Georgetown,MY,5.41,100.34,85.95,79,20,1.99,haze
119,Vardo,NO,70.37,31.11,47.23,86,29,2.98,scattered clouds
120,Igarka,RU,67.47,86.58,76.71,56,98,15.05,overcast clouds
121,Rogaska Slatina,SI,46.24,15.64,69.19,88,85,3.04,overcast clouds
122,Longyearbyen,SJ,78.22,15.64,43.39,86,100,0.94,overcast clouds
123,Port Elizabeth,ZA,-33.92,25.57,70.11,29,0,10.36,clear sky
124,Ahipara,NZ,-35.17,173.17,58.28,66,2,16.82,clear sky
125,Sainte-Marie,RE,-20.90,55.55,64.56,88,90,3.44,light rain
126,Touros,BR,-5.20,-35.46,74.3,88,8,8.97,clear sky
